gene_id	chr	gene_name	start	end	strand	description
YAL056C-A	1		39046	38696	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL056W	1	GPB2	39259	41901	W	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
YAL055W	1	PEX22	42177	42719	W	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation
YAL054C	1	ACS1	45022	42881	C	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
YAL053W	1	FLC2	45899	48250	W	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
YAL051W	1	OAF1	48564	51707	W	Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
YAL049C	1	AIM2	52595	51855	C	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
YAL047W-A	1		54584	54913	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL048C	1	GEM1	54789	52801	C	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
YAL047C	1	SPC72	56857	54989	C	Component of the cytoplasmic Tub4p (gamma-tubulin) complex; binds spindle pole bodies and links them to microtubules; is regulated by Cdc5 kinase; has roles in astral microtubule formation and stabilization
YAL046C	1	AIM1	57385	57029	C	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss
YAL044W-A	1		57518	57850	W	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein
YAL045C	1		57796	57488	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
YAL044C	1	GCV3	58462	57950	C	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
YAL043C	1	PTA1	61052	58695	C	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
YAL042W	1	ERV46	61316	62563	W	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport
YAL042C-A	1		61608	61231	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
YAL041W	1	CDC24	62840	65404	W	Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress
YAL040C	1	CLN3	67520	65778	C	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.
YAL039C	1	CYC3	69525	68716	C	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)
YAL038W	1	CDC19	71786	73288	W	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
YAL037C-B	1		73300	72326	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL037C-A	1		73518	73426	C	Putative protein of unknown function
YAL037W	1		74020	74823	W	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
YAL036C	1	RBG1	76152	75043	C	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
YAL035W	1	FUN12	76427	79435	W	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL034W-A	1	MTW1	79718	80587	W	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly
YAL034C-B	1		79842	79489	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL034C	1	FUN19	81951	80710	C	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
YAL033W	1	POP5	82706	83227	W	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL032C	1	PRP45	84474	83335	C	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL031W-A	1		84669	84977	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL031C	1	GIP4	87031	84749	C	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL030W	1	SNC1	87286	87752	W	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
YAL029C	1	MYO4	92270	87855	C	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL028W	1	FRT2	92900	94486	W	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
YAL027W	1	SAW1	94687	95472	W	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL026C-A	1		95823	95386	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
YAL026C	1	DRS2	99697	95630	C	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease
YAL025C	1	MAK16	101145	100225	C	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL024C	1	LTE1	105872	101565	C	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL023C	1	PMT2	108551	106272	C	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
YAL022C	1	FUN26	110430	108877	C	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis
YAL021C	1	CCR4	113359	110846	C	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL019W-A	1		114250	114819	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL020C	1	ATS1	114615	113614	C	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle
YAL019W	1	FUN30	114919	118314	W	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL018C	1		119541	118564	C	Putative protein of unknown function
YAL017W	1	PSK1	120225	124295	W	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL016C-B	1		124492	124307	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL016W	1	TPD3	124879	126786	W	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL016C-A	1		125069	124755	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL015C	1	NTG1	128102	126903	C	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL014C	1	SYN8	129019	128252	C	Endosomal SNARE related to mammalian syntaxin 8
YAL013W	1	DEP1	129270	130487	W	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL012W	1	CYS3	130799	131983	W	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL011W	1	SWC3	132199	134076	W	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL010C	1	MDM10	135665	134184	C	Subunit of both the ERMES complex and the SAM complex; the ERMES complex links the ER to mitochondria; the SAM complex is mitochondrial sorting and assembly machinery that functions in import and assembly of outer membrane beta-barrel proteins
YAL009W	1	SPO7	135854	136633	W	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL008W	1	FUN14	136914	137510	W	Mitochondrial protein of unknown function
YAL007C	1	ERP2	138345	137698	C	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YAL004W	1		140760	141407	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C
YAL005C	1	SSA1	141431	139503	C	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL003W	1	EFB1	142174	143160	W	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site
YAL002W	1	VPS8	143707	147531	W	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL001C	1	TFC3	151166	147594	C	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding
YAR002W	1	NUP60	152257	153876	W	FG-nucleoporin component of central core of the nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
YAR002C-A	1	ERP1	154724	154065	C	Member of the p24 family involved in ER to Golgi transport; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication
YAR003W	1	SWD1	155005	156285	W	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YAR007C	1	RFA1	158619	156754	C	Subunit of heterotrimeric Replication Protein A (RPA); which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; relocalizes to the cytosol in response to hypoxia
YAR008W	1	SEN34	158966	159793	W	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
YAR014C	1	BUD14	168871	166742	C	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress
YAR015W	1	ADE1	169375	170295	W	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
YAR018C	1	KIN3	171703	170396	C	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol
YAR019W-A	1		174998	175330	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAR019C	1	CDC15	175135	172211	C	Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress
YAR020C	1	PAU7	177023	176856	C	Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme
YAR023C	1		179820	179281	C	Putative integral membrane protein, member of DUP240 gene family
YAR027W	1	UIP3	183770	184477	W	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family
YAR028W	1		184892	185596	W	Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YAR029W	1		186321	186545	W	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YAR031W	1	PRM9	186836	187732	W	Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication
YAR030C	1		186853	186512	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9
YAR033W	1	MST28	188107	188811	W	Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication
YAR035W	1	YAT1	190193	192256	W	Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated
YAR035C-A	1		192417	192337	C	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; predicted to have a role in cell budding based on computational guilt by association analysis
YAR042W	1	SWH1	192619	196185	W	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication
YAR047C	1		201787	201467	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAR050W	1	FLO1	203403	208016	W	Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; FLO1 has a paralog, FLO5, that arose from a segmental duplication
YAR053W	1		208367	208663	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAR060C	1		217492	217157	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication
YAR064W	1		220198	220497	W	Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication
YAR066W	1		221049	221660	W	Putative GPI protein; YAR066W has a paralog, YHR214W, that arose from a segmental duplication
YAR068W	1		222406	222891	W	Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication
YAR069C	1		224304	224011	C	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication
YAR070C	1		224862	224563	C	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication
YAR071W	1	PHO11	225460	226863	W	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
YAR073W	1	IMD1	227742	228953	W	Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication
YAR075W	1		228844	229317	W	Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication
YJL225W-A	10		829	1311	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene YJL225C
YJL225C	10		6130	466	C	Putative Y' element ATP-dependent helicase
YJL223C	10	PAU1	9138	8776	C	Member of the seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme; identical to Pau14p
YJL222W-B	10		9346	9483	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YJL222W-A	10		9452	9679	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YJL222W	10	VTH2	11475	16124	W	Putative membrane glycoprotein with strong similarity to Vth1p and Pep1p/Vps10p, may be involved in vacuolar protein sorting
YJL220W	10		18243	18695	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL221C/FSP2
YJL221C	10	IMA4	18536	16767	C	Alpha-glucosidase; weak, but broad substrate specificity for alpha-1,4- and alpha-1,6-glucosides; member of IMA isomaltase family; not required for isomaltose utilization, but Ima4p overexpression allows the ima1 null mutant to grow on isomaltose; identical to IMA3
YJL219W	10	HXT9	19497	21200	W	Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily (MFS) transporters, expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p
YJL218W	10		21973	22563	W	Putative acetyltransferase; similar to bacterial galactoside O-acetyltransferases; induced by oleate in an OAF1/PIP2-dependent manner; promoter contains an oleate response element consensus sequence; non-essential gene
YJL217W	10	REE1	23133	23729	W	Cytoplasmic protein involved in the regulation of enolase (ENO1); mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the presence of galactose (via Gal4p); mRNA expression is also regulated by the cell cycle
YJL216C	10	IMA5	26086	24341	C	Alpha-glucosidase; specificity for isomaltose, maltose, and palatinose, but not alpha-methylglucoside; member of the IMA isomaltase family; not required for isomaltose utilization, but Ima5p overexpression allows the ima1 null mutant to grow on isomaltose
YJL215C	10		26771	26412	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YJL214W	10	HXT8	26887	28596	W	Protein of unknown function with similarity to hexose transporter family members, expression is induced by low levels of glucose and repressed by high levels of glucose
YJL213W	10		32163	33158	W	Protein of unknown function that may interact with ribosomes; periodically expressed during the yeast metabolic cycle; phosphorylated in vitro by the mitotic exit network (MEN) kinase complex, Dbf2p/Mob1p
YJL212C	10	OPT1	36249	33850	C	Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
YJL210W	10	PEX2	36919	37734	W	RING-finger peroxin and E3 ubiquitin ligase; peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import
YJL211C	10		37200	36757	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL210W/PEX2
YJL209W	10	CBP1	38005	39969	W	Mitochondrial protein, regulator of COB mRNA stability and translation; interacts with the 5'-untranslated region of the COB mRNA; found in a complex at the inner membrane along with Pet309p; localizes to mitochondrial foci upon DNA replication stress
YJL208C	10	NUC1	41183	40194	C	Major mitochondrial nuclease; has RNAse and DNA endo- and exonucleolytic activities; has roles in mitochondrial recombination, apoptosis and maintenance of polyploidy
YJL207C	10	LAA1	47433	41389	C	AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene
YJL206C	10		49935	47659	C	Putative protein of unknown function; similar to transcriptional regulators from the Zn[2]-Cys[6] binuclear cluster protein family; mRNA is weakly cell cycle regulated, peaking in S phase; induced rapidly upon MMS treatment
YJL205C	10	NCE101	50443	50139	C	Protein of unknown function, involved in secretion of proteins that lack classical secretory signal sequences
YJL204C	10	RCY1	53151	50629	C	F-box protein involved in recycling plasma membrane proteins internalized by endocytosis; localized to sites of polarized growth
YJL203W	10	PRP21	53341	54183	W	Subunit of the SF3a splicing factor complex; required for spliceosome assembly
YJL202C	10		54290	53943	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 3' end of essential PRP21 gene encoding a subunit of the SF3a splicing factor complex
YJL201W	10	ECM25	54379	56178	W	Non-essential protein of unknown function; promoter contains a consensus binding sequence for factor Abf1p
YJL200C	10	ACO2	58813	56444	C	Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol
YJL199C	10	MBB1	60182	59856	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; protein detected in large-scale protein-protein interaction studies
YJL198W	10	PHO90	60844	63489	W	Low-affinity phosphate transporter; acts upstream of Pho81p in regulation of the PHO pathway; deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth; PHO90 has a paralog, PHO87, that arose from the whole genome duplication
YJL197W	10	UBP12	63805	67569	W	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; present in the nucleus and cytoplasm
YJL197C-A	10		66086	65805	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL197C/UBP12
YJL196C	10	ELO1	68782	67850	C	Elongase I, medium-chain acyl elongase; catalyzes carboxy-terminal elongation of unsaturated C12-C16 fatty acyl-CoAs to C16-C18 fatty acids; ELO1 has a paralog, FEN1, that arose from the whole genome duplication
